record_id,protocol,fold,role,split_group,source_group,waterbody_group,sample_date
508642cf90bcd977,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_CA-143,2012-05-02
d81d316438d3fda8,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Saguaro Lake,2012-05-08
7fbd0a160137bcea,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_ND-115,2012-05-16
1573f43e3d42eb28,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_AZ-118,2012-05-09
204d9119a009826f,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Porcupine Reservoir,2012-05-09
5a835214434ed637,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Bartlett Reservoir,2012-05-10
6f43b54e00e55179,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_FL-101,2012-05-14
0afc1e13fe53fb5e,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Navajo Lake,2012-05-15
4682e9b6af41f62e,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_ND-112,2012-05-15
07f146b9ffc47815,source_ood,3,train,NLA2012,NLA2012,"waterbody:NLA2012:Annie, Lake",2012-05-15
80bee59eb1f3ed2d,source_ood,3,train,NLA2012,NLA2012,"waterbody:NLA2012:Haines, Lake",2012-05-16
f96cbd18ded9611b,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Miriatoto Lake,2012-05-16
4ab991e3eeca62b9,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Koosharem Reservoir,2012-05-17
309de5e8285f83e7,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Clearwater Lake,2012-05-17
cbd3951a83491631,source_ood,3,train,NLA2012,NLA2012,"waterbody:NLA2012:Loralin, Lake",2012-05-18
619c911c426103ae,source_ood,3,train,NLA2012,NLA2012,waterbody:NLA2012:Horseshoe Lake,2012-05-20
1719589bd89a0838,source_ood,3,train,NLA2012,NLA2012,"waterbody:NLA2012:Minnehaha, Lake",2012-05-19
d4b51ab388aa81fd,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_CA-168,2012-05-21
79f34f7641f5e372,source_ood,3,train,NLA2012,NLA2012,site:NLA2012:NLA12_OK-122,2012-05-21
