abstract,authors,cited_by_count,doi,is_open_access,landing_page_url,openalex_id,pdf_url,publication_date,publication_year,query,rank,title,type
"The long-standing dominance of gradient-boosted decision trees on tabular data is currently challenged by tabular foundation models using In-Context Learning (ICL): setting the training data as context for the test data and predicting in a single forward pass without parameter updates. While TabPFNv2 foundation model excels on tables with up to 10K samples, its alternating column- and row-wise attentions make handling large training sets computationally prohibitive. So, can ICL be effectively scaled and deliver a benefit for larger tables? We introduce TabICL, a tabular foundation model for classification, pretrained on synthetic datasets with up to 60K samples and capable of handling 500K samples on affordable resources. This is enabled by a novel two-stage architecture: a column-then-row attention mechanism to build fixed-dimensional embeddings of rows, followed by a transformer for efficient ICL. Across 200 classification datasets from the TALENT benchmark, TabICL is on par with TabPFNv2 while being systematically faster (up to 10 times), and significantly outperforms all other approaches. On 53 datasets with over 10K samples, TabICL surpasses both TabPFNv2 and CatBoost, demonstrating the potential of ICL for large data. Pretraining code, inference code, and pre-trained models are available at https://github.com/soda-inria/tabicl.",Jingang Qu; David Holzmüller; Gaël Varoquaux; Marine Le Morvan,7,https://doi.org/10.48550/arxiv.2502.05564,True,http://arxiv.org/abs/2502.05564,https://openalex.org/W4407385137,https://arxiv.org/pdf/2502.05564,2025-02-08,2025,tabular foundation model regression TabICL TabPFN,1,TabICL: A Tabular Foundation Model for In-Context Learning on Large Data,preprint
"While traditional ensemble methods have dominated tabular intrusion detection systems (IDSs), recent advances in foundation models present new opportunities for enhanced cybersecurity applications. This paper presents a comprehensive multi-modal evaluation of foundation models—specifically TabPFN (Tabular Prior-Data Fitted Network), TabICL (Tabular In-Context Learning), and large language models—against traditional machine learning approaches across three cybersecurity datasets: CIC-IDS2017, N-BaIoT, and CIC-UNSW. Our rigorous experimental framework addresses critical methodological challenges through model-appropriate evaluation protocols and comprehensive assessment across multiple data variants. Results demonstrate that foundation models achieve superior and more consistent performance compared with traditional approaches, with TabPFN and TabICL establishing new state-of-the-art results across all datasets. Most significantly, these models uniquely achieve non-zero recall across all classes, including rare threats like Heartbleed and Infiltration, while traditional ensemble methods—despite achieving &gt;99% overall accuracy—completely fail on several minority classes. TabICL demonstrates particularly strong performance on CIC-IDS2017 (99.59% accuracy), while TabPFN maintains consistent performance across all datasets, suggesting robust generalization capabilities. Both foundation models achieve these results using only fractions of the available training data and requiring no hyperparameter tuning, representing a paradigm shift toward training-light, hyperparameter-free adaptive IDS architectures, where TabPFN requires no task-specific fitting and TabICL leverages efficient in-context adaptation without retraining. Cross-dataset validation reveals that foundation models maintain performance advantages across diverse threat landscapes, while traditional methods exhibit significant dataset-specific variations. These findings challenge the cybersecurity community’s reliance on tree-based ensembles and demonstrate that foundation models offer superior capabilities for next-generation intrusion detection systems in IoT environments.",Pablo García; J. de Curtò; I. de Zarzà; Juan‐Carlos Cano; Carlos T. Calafate,3,https://doi.org/10.3390/electronics14193792,True,https://doi.org/10.3390/electronics14193792,https://openalex.org/W4414524233,https://www.mdpi.com/2079-9292/14/19/3792/pdf?version=1758725977,2025-09-24,2025,tabular foundation model regression TabICL TabPFN,2,Foundation Models for Cybersecurity: A Comprehensive Multi-Modal Evaluation of TabPFN and TabICL for Tabular Intrusion Detection,article
"Abstract Predicting how cells respond to genetic and chemical perturbations is a central challenge in drug discovery and functional genomics. A growing ecosystem of specialized single-cell foundation models has been developed to address this problem, yet their practical advantage over domain-agnostic approaches remains unclear. Here we evaluate the power of Tabular Foundation Models such as TabICL and TabPFN, general-purpose pre-trained regression models, against domain-specific architectures including PRESAGE, scGPT, scLAMBDA, STACK and Prophet across four complementary evaluation settings: cell-level in-context cross-cell-type prediction, pseudobulk perturbation prediction on five Perturb-seq datasets of cell-lines, a genome-wide CRISPR screen in primary human CD4 + T cells, and embryo-level cell-type composition prediction in a zebrafish developmental perturbation atlas. In the cell-level cross-cell type perturbation prediction, Tabular Foundation Models perform on par or better than specialized models. On pseudobulk perturbation prediction, Tabular Foundation Models consistently out-perform specialized baselines across multiple evaluation metrics and datasets. On whole-embryo cell-type composition prediction, Tabular Foundation Models are competitive with specialized baselines. These results demonstrate that general-purpose tabular in-context learning provides a strong and scalable alternative to bespoke biological architectures for perturbation response modeling across cell systems and scales.",Giovanni Palla; Alexander Hillsley; Yang Joon Kim; Löıc A. Royer,1,https://doi.org/10.64898/2026.06.28.735106,True,https://doi.org/10.64898/2026.06.28.735106,https://openalex.org/W7166861138,,2026-07-01,2026,tabular foundation model regression TabICL TabPFN,3,Tabular Foundation Models Are Competitive Cellular Perturbation Predictors Across Biological Scales,preprint
"Abstract Tabular Prior-Data Fitted Networks (TabPFN) demonstrate remarkable performance on small-to-medium tabular datasets through in-context learning, but struggle with high-dimensional genomic data such as RNA-seq with tens of thousands of features. We investigate multiple approaches to adapt TabPFN for transcriptomic analysis using two benchmark datasets: Age-ARCHS4, a regression dataset derived from the ARCHS4 dataset (57,873 samples, 10,000 genes), and an Inflammatory Bowel Disease (IBD) classification dataset encompassing Crohn’s Disease and Ulcerative Colitis samples (2,490 samples, 10,000 genes). Our experimental design proceeds in two phases: first evaluating existing optimization methods, then testing novel adaptations including (1) self-supervised embedding learning and (2) Bulk-Former integration. We demonstrate that when constrained to equal training conditions (500 features, 10,000 samples), TabPFN outperforms classical baselines like random forest and XGBoost. However, when classical methods utilize full feature sets while TabPFN adaptations attempt to handle higher-dimensional data, all TabPFN variants consistently underperform the naive baseline. Our findings reveal fundamental limitations in current approaches to adapting TabPFN for genomic applications, showing that architectural modifications paradoxically degrade performance, while intelligent metadata-based subgrouping emerges as the most effective strategy for deploying TabPFN on biological data.",Summer Zhou; Vinayak Agarwal; Ashwin Gopinath; Timothy Kassis,2,https://doi.org/10.1101/2025.08.15.670537,True,https://doi.org/10.1101/2025.08.15.670537,https://openalex.org/W4413390142,https://www.biorxiv.org/content/biorxiv/early/2025/08/21/2025.08.15.670537.full.pdf,2025-08-21,2025,tabular foundation model regression TabICL TabPFN,4,The Limitations of TabPFN for High-Dimensional RNA-seq Analysis,preprint
"Tabular data is prevalent across diverse domains in machine learning. With the rapid progress of deep tabular prediction methods, especially pretrained (foundation) models, there is a growing need to evaluate these methods systematically and to understand their behavior. We present an extensive study on TALENT, a collection of 300+ datasets spanning broad ranges of size, feature composition (numerical/categorical mixes), domains, and output types (binary, multi--class, regression). Our evaluation shows that ensembling benefits both tree-based and neural approaches. Traditional gradient-boosted trees remain very strong baselines, yet recent pretrained tabular models now match or surpass them on many tasks, narrowing--but not eliminating--the historical advantage of tree ensembles. Despite architectural diversity, top performance concentrates within a small subset of models, providing practical guidance for method selection. To explain these outcomes, we quantify dataset heterogeneity by learning from meta-features and early training dynamics to predict later validation behavior. This dynamics-aware analysis indicates that heterogeneity--such as the interplay of categorical and numerical attributes--largely determines which family of methods is favored. Finally, we introduce a two-level design beyond the 300 common-size datasets: a compact TALENT-tiny core (45 datasets) for rapid, reproducible evaluation, and a TALENT-extension suite targeting high-dimensional, many-class, and very large-scale settings for stress testing. In summary, these results offer actionable insights into the strengths, limitations, and future directions for improving deep tabular learning.",Han-Jia Ye; Siyang Liu; Hao-Run Cai; Qi-Le Zhou; De‐Chuan Zhan,6,https://doi.org/10.48550/arxiv.2407.00956,True,http://arxiv.org/abs/2407.00956,https://openalex.org/W4400341480,https://arxiv.org/pdf/2407.00956,2024-07-01,2024,tabular foundation model regression TabICL TabPFN,5,A Closer Look at Deep Learning Methods on Tabular Datasets,preprint
"Tabular data is one of the most ubiquitous sources of information worldwide, spanning a wide variety of domains. This inherent heterogeneity has slowed the development of Tabular Foundation Models (TFMs) capable of fast generalization to unseen datasets. In-Context Learning (ICL) has recently emerged as a promising solution for TFMs, enabling dynamic adaptation to new tasks without additional tuning. While many studies have attempted to re-purpose large language models for tabular ICL, they have had limited success, so recent works have focused on developing tabular-specific foundation models. In this work, we propose an approach to combine ICL-based retrieval with self supervised learning to train tabular foundation models. We also investigate the utility of real vs. synthetic data for model pre-training, and show that real data can contain useful signal not easily captured in synthetic training. Specifically, we show that incorporating real data during the pre-training phase can lead to significantly faster training and better downstream generalization to unseen data. Our resulting model, TabDPT, achieves strong performance on both regression (CTR23) and classification (CC18) benchmarks. Importantly, we also demonstrate that with our pre-training procedure, scaling both model and data size leads to consistent performance improvements that follow power laws. This echoes scaling laws in LLMs and other foundation models, and suggests that large-scale TFMs can be achievable. We open-source our full pipeline: inference code including trained model weights can be found at github.com/layer6ai-labs/TabDPT-inference, and the training code to reproduce experiments can be found at github.com/layer6ai-labs/TabDPT-training.",Junwei Ma; Valentin Thomas; Rasa Hosseinzadeh; Alex Labach; Hamidreza Kamkari; Jesse C. Cresswell; Keyvan Golestan; G. H. Yu; Anthony L. Caterini; Maksims Volkovs,2,https://doi.org/10.48550/arxiv.2410.18164,True,http://arxiv.org/abs/2410.18164,https://openalex.org/W4404306246,https://arxiv.org/pdf/2410.18164,2024-10-23,2024,tabular foundation model regression TabICL TabPFN,6,TabDPT: Scaling Tabular Foundation Models on Real Data,preprint
"ABSTRACT In the field of pedometrics, tabular machine learning is the predominant method for soil property prediction from remote and proximal soil sensing data, forming a central component of Digital Soil Mapping (DSM). At the field‐scale, this pedometric modeling task is typically constrained by small training sample sizes and high feature‐to‐sample ratios, particularly when using spectroscopic data. Traditionally, these conditions have proven challenging for conventional deep learning methods. Classical machine learning algorithms, particularly tree‐based models like Random Forest and linear models such as Partial Least Squares Regression, have long been the default choice for pedometric modeling within DSM. Recent advances in artificial neural networks (ANN) for tabular data challenge this view, yet their suitability for field‐scale DSM has not been proven. We introduce a comprehensive benchmark that evaluates state‐of‐the‐art ANN architectures, including the latest multilayer perceptron (MLP)‐based models (TabM, RealMLP), attention‐based transformer variants (FT‐Transformer, ExcelFormer, T2G‐Former, AMFormer), retrieval‐augmented approaches (TabR, ModernNCA), and an in‐context learning foundation model (TabPFN). Our evaluation encompasses 31 field‐ and farm‐scale datasets containing 30–460 soil samples and three critical soil properties: soil organic matter or soil organic carbon, pH, and clay content. Our results reveal that modern ANNs consistently outperform classical methods on the majority of tasks, demonstrating that deep learning has matured sufficiently to overcome the long‐standing dominance of classical machine learning for soil property prediction. Notably, TabPFN delivers the strongest overall performance, showing robustness across varying conditions. We therefore recommend the adoption of modern ANNs for field‐scale DSM and propose TabPFN as the new default choice in the toolkit of every pedometrician.",Viacheslav Barkov; Jonas Schmidinger; Robin Gebbers; Martin Atzmueller,5,https://doi.org/10.1111/ejss.70299,True,https://doi.org/10.1111/ejss.70299,https://openalex.org/W7131643135,,2026-02-24,2026,tabular foundation model regression TabICL TabPFN,7,Modern Neural Networks for Small Tabular Datasets: The New Default for Field‐Scale Digital Soil Mapping?,article
"We present an Adversarially Pre-trained Transformer (APT) that is able to perform zero-shot meta-learning on tabular prediction tasks without pre-training on any real-world dataset, extending on the recent development of Prior-Data Fitted Networks (PFNs) and TabPFN. Specifically, APT is pre-trained with adversarial synthetic data agents, who continue to shift their underlying data generating distribution and deliberately challenge the model with different synthetic datasets. In addition, we propose a mixture block architecture that is able to handle classification tasks with arbitrary number of classes, addressing the class size limitation -- a crucial weakness of prior deep tabular zero-shot learners. In experiments, we show that our framework matches state-of-the-art performance on small classification tasks without filtering on dataset characteristics such as number of classes and number of missing values, while maintaining an average runtime under one second. On common benchmark dataset suites in both classification and regression, we show that adversarial pre-training was able to enhance TabPFN's performance. In our analysis, we demonstrate that the adversarial synthetic data agents were able to generate a more diverse collection of data compared to the ordinary random generator in TabPFN. In addition, we demonstrate that our mixture block neural design has improved generalizability and greatly accelerated pre-training.",Yulun Wu; Doron L. Bergman,1,https://doi.org/10.48550/arxiv.2502.04573,True,http://arxiv.org/abs/2502.04573,https://openalex.org/W4407308997,https://arxiv.org/pdf/2502.04573,2025-02-06,2025,tabular foundation model regression TabICL TabPFN,8,Zero-shot Meta-learning for Tabular Prediction Tasks with Adversarially Pre-trained Transformer,preprint
"With the growing popularity of deep learning and foundation models for tabular data, the need for standardized and reliable benchmarks is higher than ever. However, current benchmarks are static. Their design is not updated even if flaws are discovered, model versions are updated, or new models are released. To address this, we introduce TabArena, the first continuously maintained living tabular benchmarking system. To launch TabArena, we manually curate a representative collection of datasets and well-implemented models, conduct a large-scale benchmarking study to initialize a public leaderboard, and assemble a team of experienced maintainers. Our results highlight the influence of validation method and ensembling of hyperparameter configurations to benchmark models at their full potential. While gradient-boosted trees are still strong contenders on practical tabular datasets, we observe that deep learning methods have caught up under larger time budgets with ensembling. At the same time, foundation models excel on smaller datasets. Finally, we show that ensembles across models advance the state-of-the-art in tabular machine learning. We observe that some deep learning models are overrepresented in cross-model ensembles due to validation set overfitting, and we encourage model developers to address this issue. We launch TabArena with a public leaderboard, reproducible code, and maintenance protocols to create a living benchmark available at https://tabarena.ai.",Nick Erickson; Lennart Purucker; Andrej Tschalzev; David Holzmüller; P. Desai; David Salinas; Frank Hutter,1,https://doi.org/10.52202/085713-0519,True,https://doi.org/10.52202/085713-0519,https://openalex.org/W4414987631,https://arxiv.org/pdf/2506.16791,2025-01-01,2025,tabular foundation model regression TabICL TabPFN,9,TabArena: A Living Benchmark for Machine Learning on Tabular Data,conference-paper
"Tabular foundation models like TabPFN and TabICL achieve state-of-the-art performance through in-context learning, yet their architectures remain fundamentally opaque. We introduce KernelICL, a framework to enhance tabular foundation models with quantifiable sample-based interpretability. Building on the insight that in-context learning is akin to kernel regression, we make this mechanism explicit by replacing the final prediction layer with kernel functions (Gaussian, dot-product, kNN) so that every prediction is a transparent weighted average of training labels. We introduce a two-dimensional taxonomy that formally unifies standard kernel methods, modern neighbor-based approaches, and attention mechanisms under a single framework, and quantify inspectability via the perplexity of the weight distribution over training samples. On 55 TALENT benchmark datasets, KernelICL achieves performance on par with existing tabular foundation models, demonstrating that explicit kernel constraints on the final layer enable inspectable predictions without sacrificing performance.",Ratmir Miftachov; Bruno Charron; Simon Valentin,0,,True,http://arxiv.org/abs/2602.02162,https://openalex.org/W7127541791,https://arxiv.org/pdf/2602.02162,2026-02-02,2026,tabular foundation model regression TabICL TabPFN,10,Interpretable Tabular Foundation Models via In-Context Kernel Regression,preprint
