record_id,protocol,fold,role,split_group,source_group,waterbody_group,sample_date
434c4eb6013ee711,waterbody_ood,2,train,waterbody:EMLS:Mondsee,EMLS,waterbody:EMLS:Mondsee,2015-08-03
f0ef732afc13cc54,waterbody_ood,2,train,waterbody:EMLS:Brenet,EMLS,waterbody:EMLS:Brenet,2015-08-12
dfb93e473473a69a,waterbody_ood,0,test,waterbody:EMLS:Bret,EMLS,waterbody:EMLS:Bret,2015-08-25
386f7156c393db31,waterbody_ood,1,validation,waterbody:EMLS:Divonne,EMLS,waterbody:EMLS:Divonne,2015-08-14
b4fd16d85807d793,waterbody_ood,0,test,waterbody:EMLS:Geneva_GE3,EMLS,waterbody:EMLS:Geneva_GE3,2015-08-10
bfce12a5def6c2ee,waterbody_ood,4,train,waterbody:EMLS:Greifen,EMLS,waterbody:EMLS:Greifen,2015-08-20
3544b3a001fa3f2e,waterbody_ood,3,train,waterbody:EMLS:Hallwil,EMLS,waterbody:EMLS:Hallwil,2015-08-17
2bdafed09608089d,waterbody_ood,0,test,waterbody:EMLS:Joux,EMLS,waterbody:EMLS:Joux,2015-08-12
faf508dd86e81b45,waterbody_ood,3,train,waterbody:EMLS:Lucerne,EMLS,waterbody:EMLS:Lucerne,2015-08-27
96349ff735de95da,waterbody_ood,1,validation,waterbody:EMLS:Morat,EMLS,waterbody:EMLS:Morat,2015-08-13
ddceba431a0ea6e0,waterbody_ood,4,train,waterbody:EMLS:Ober,EMLS,waterbody:EMLS:Ober,2015-08-18
a5b18d462546202f,waterbody_ood,1,validation,waterbody:EMLS:Pfaffikon,EMLS,waterbody:EMLS:Pfaffikon,2015-08-20
9d1c44812f22880c,waterbody_ood,0,test,waterbody:EMLS:Sempacher,EMLS,waterbody:EMLS:Sempacher,2015-08-22
3c0c7fa10f517b3e,waterbody_ood,1,validation,waterbody:EMLS:Geneva_SHL2,EMLS,waterbody:EMLS:Geneva_SHL2,2015-08-03
2c69d599178c5ef7,waterbody_ood,2,train,waterbody:EMLS:Sopen,EMLS,waterbody:EMLS:Sopen,2015-08-04
a678d4421c444b33,waterbody_ood,3,train,waterbody:EMLS:Zurich,EMLS,waterbody:EMLS:Zurich,2015-08-18
0db8295708be9ec6,waterbody_ood,4,train,waterbody:EMLS:Akaki_Malounda,EMLS,waterbody:EMLS:Akaki_Malounda,2015-06-24
478859efc3edde1f,waterbody_ood,1,validation,waterbody:EMLS:Asprokremmos Reservoir,EMLS,waterbody:EMLS:Asprokremmos Reservoir,2015-06-10
0382d4fde11e8bf4,waterbody_ood,1,validation,waterbody:EMLS:Kannaviou Reservoir,EMLS,waterbody:EMLS:Kannaviou Reservoir,2015-06-09
d5455762d8283cb6,waterbody_ood,3,train,waterbody:EMLS:Kouris Reservoir,EMLS,waterbody:EMLS:Kouris Reservoir,2015-06-11
66859a183de212ce,waterbody_ood,0,test,waterbody:EMLS:Polemidia,EMLS,waterbody:EMLS:Polemidia,2015-06-17
b76e4878295d3cf5,waterbody_ood,4,train,waterbody:EMLS:Boskovice,EMLS,waterbody:EMLS:Boskovice,2015-07-13
2783ff5202a475c3,waterbody_ood,2,train,waterbody:EMLS:Brnenska prehrada,EMLS,waterbody:EMLS:Brnenska prehrada,2015-07-09
72e42d7b7e27dadf,waterbody_ood,0,test,waterbody:EMLS:Hamry,EMLS,waterbody:EMLS:Hamry,2015-07-15
8f0e4cc6b7d576b4,waterbody_ood,1,validation,waterbody:EMLS:Letovice,EMLS,waterbody:EMLS:Letovice,2015-07-13
ff68371562831929,waterbody_ood,2,train,waterbody:EMLS:Luhacovice,EMLS,waterbody:EMLS:Luhacovice,2015-07-09
4785a08b8020dd4c,waterbody_ood,1,validation,waterbody:EMLS:Matejovsky,EMLS,waterbody:EMLS:Matejovsky,2015-07-15
0fcd971414ee1f2f,waterbody_ood,2,train,waterbody:EMLS:Mostiste,EMLS,waterbody:EMLS:Mostiste,2015-07-20
764e4d713b6332ea,waterbody_ood,2,train,waterbody:EMLS:Nesyt,EMLS,waterbody:EMLS:Nesyt,2015-07-07
eb2126571bb495e7,waterbody_ood,3,train,waterbody:EMLS:Nove Mlyny II,EMLS,waterbody:EMLS:Nove Mlyny II,2015-07-07
70a9017512a0c0be,waterbody_ood,4,train,waterbody:EMLS:Novovesky,EMLS,waterbody:EMLS:Novovesky,2015-07-07
ef30f0b8972c21b1,waterbody_ood,3,train,waterbody:EMLS:Velke Dako,EMLS,waterbody:EMLS:Velke Dako,2015-07-15
